		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101101000   15   30   21   29   19   17   34   18 15.652037 0.047640 SUCCESS  90
101101100   20   17   19   24   17   29   26   21  8.194172 0.414736 SUCCESS  91
101110000   29   30   21   24   31   23   28   26  5.309926 0.723995 SUCCESS  92
101110100   22   20   34   22   31   22   23   22  7.629503 0.470472 SUCCESS  93
101111000   28   28   30   18   19   31   22   21  7.977043 0.435716 SUCCESS  94
101111100   22   33   28   22   18   21   24   26  6.510757 0.590215 SUCCESS  95
110000000   21   27   21   22   21   21   20   20  4.126968 0.845490 SUCCESS  96
110000010   28   31   33   27   22   22   27   30  7.920774 0.441247 SUCCESS  97
110000100   31   29   25   31   20   30   31   24  8.607248 0.376503 SUCCESS  98
110001000   20   21   21   35   18   24   26   23  8.492725 0.386876 SUCCESS  99
110001010   21   23   24   29   23   27   29   32  5.190770 0.737005 SUCCESS 100
110010000   32   21   29   25   23   24   22   24  4.189856 0.839600 SUCCESS 101
110010010   26   31   25   19   19   27   16   27  8.001536 0.433320 SUCCESS 102
110010100   25   19   19   27   23   33   29   26  6.994665 0.537208 SUCCESS 103
110011000   27   22   26   22   28   29   17   28  5.198052 0.736214 SUCCESS 104
110011010   23   17   19   30   27   20   19   25  7.322345 0.502287 SUCCESS 105
110100000   15   26   22   19   21   17   28   21  9.176550 0.327622 SUCCESS 106
110100010   16   22   31   21   21   20   31   30 10.052349 0.261371 SUCCESS 107
110100100   23   22   28   14   33   19   20   24 10.652765 0.222161 SUCCESS 108
110101000   22   25   18   30   27   16   21   17  9.406257 0.309191 SUCCESS 109
110101010   22   30   21   13   41   24   20   26 20.178654 0.009681 FAILURE 110
110101100   28   22   28   26   18   22   33   28  7.113821 0.524404 SUCCESS 111
110110000   24   24   25   23   16   26   20   23  4.111081 0.846965 SUCCESS 112
110110010   24   33   27   24   30   26   26   22  5.225193 0.733258 SUCCESS 113
110110100   25   22   14   28   25   29   32   23  8.832983 0.356581 SUCCESS 114
110111000   22   21   17   25   29   24   20   29  5.687917 0.682143 SUCCESS 115
110111010   19   19   36   22   31   22   25   19 11.755623 0.162445 SUCCESS 116
